matchId,videoTimestamp,postShotXg,xg,videoPath
5228162,262,0.81,0.76,video/competition-198/season-187389/match-5228162/goal-s249-e296.mp4
5228162,369,0.8644,0.6637,video/competition-198/season-187389/match-5228162/goal-s357-e404.mp4
5228162,4257,0.4175,0.0852,video/competition-198/season-187389/match-5228162/goal-s4244-e4291.mp4
5228162,5112,0.4686,0.3661,video/competition-198/season-187389/match-5228162/goal-s5099-e5146.mp4
5228163,2481,0.5022,0.06955,video/competition-198/season-187389/match-5228163/goal-s2469-e2516.mp4
5228163,4772,0.3035,0.1177,video/competition-198/season-187389/match-5228163/goal-s4759-e4806.mp4
5228164,2657,0.3229,0.08393,video/competition-198/season-187389/match-5228164/goal-s2645-e2692.mp4
5228164,3261,0.148,0.09488,video/competition-198/season-187389/match-5228164/goal-s3249-e3296.mp4
5228164,5397,0.6803,0.1455,video/competition-198/season-187389/match-5228164/goal-s5384-e5431.mp4
5228165,2493,0.7627,0.479,video/competition-198/season-187389/match-5228165/goal-s2481-e2528.mp4
5228165,2595,0.7335,0.2119,video/competition-198/season-187389/match-5228165/goal-s2582-e2629.mp4
5228165,3238,0.81,0.76,video/competition-198/season-187389/match-5228165/goal-s3225-e3272.mp4
5228166,2281,0.81,0.76,video/competition-198/season-187389/match-5228166/goal-s2269-e2316.mp4
5228166,3936,0.1669,0.02427,video/competition-198/season-187389/match-5228166/goal-s3924-e3971.mp4
5228166,4517,0.5473,0.3818,video/competition-198/season-187389/match-5228166/goal-s4504-e4551.mp4
5228167,2556,0.2711,0.1429,video/competition-198/season-187389/match-5228167/goal-s2543-e2590.mp4
5228167,4379,0.6183,0.1107,video/competition-198/season-187389/match-5228167/goal-s4366-e4413.mp4
5228167,4893,0.5916,0.07205,video/competition-198/season-187389/match-5228167/goal-s4881-e4928.mp4
5228168,3416,0.08498,0.1724,video/competition-198/season-187389/match-5228168/goal-s3403-e3450.mp4
5228168,4243,0.86,0.3474,video/competition-198/season-187389/match-5228168/goal-s4231-e4278.mp4
5228168,5024,0.8534,0.1102,video/competition-198/season-187389/match-5228168/goal-s5012-e5059.mp4
5228168,5302,0.81,0.76,video/competition-198/season-187389/match-5228168/goal-s5289-e5336.mp4
5228169,525,0.1281,0.06004,video/competition-198/season-187389/match-5228169/goal-s513-e560.mp4
5228169,3806,0.3324,0.09453,video/competition-198/season-187389/match-5228169/goal-s3793-e3840.mp4
5228169,5382,0.2576,0.05506,video/competition-198/season-187389/match-5228169/goal-s5369-e5416.mp4
5228170,1198,0.1469,0.1879,video/competition-198/season-187389/match-5228170/goal-s1186-e1233.mp4
5228170,4933,0.5189,0.08763,video/competition-198/season-187389/match-5228170/goal-s4921-e4968.mp4
5228171,424,0.02921,0.003726,video/competition-198/season-187389/match-5228171/goal-s411-e458.mp4
5228171,1749,0.8982,0.8225,video/competition-198/season-187389/match-5228171/goal-s1736-e1783.mp4
5228171,4102,0.276,0.236,video/competition-198/season-187389/match-5228171/goal-s4089-e4136.mp4
5228171,5187,0.4896,0.04911,video/competition-198/season-187389/match-5228171/goal-s5175-e5222.mp4
5228172,920,0.6172,0.3171,video/competition-198/season-187389/match-5228172/goal-s908-e955.mp4
5228172,4575,0.1159,0.02668,video/competition-198/season-187389/match-5228172/goal-s4562-e4609.mp4
5228173,4748,0.7525,0.4864,video/competition-198/season-187389/match-5228173/goal-s4735-e4782.mp4
5228175,2654,0.81,0.76,video/competition-198/season-187389/match-5228175/goal-s2641-e2688.mp4
5228175,3950,0.5096,0.4035,video/competition-198/season-187389/match-5228175/goal-s3937-e3984.mp4
5228175,4474,0.2266,0.163,video/competition-198/season-187389/match-5228175/goal-s4462-e4509.mp4
5228175,5793,0.5344,0.1291,video/competition-198/season-187389/match-5228175/goal-s5781-e5828.mp4
5228176,468,0.81,0.76,video/competition-198/season-187389/match-5228176/goal-s456-e503.mp4
5228176,2168,0.4613,0.1125,video/competition-198/season-187389/match-5228176/goal-s2156-e2203.mp4
5228176,2957,0.7963,0.3938,video/competition-198/season-187389/match-5228176/goal-s2944-e2991.mp4
5228176,4004,0.1764,0.1478,video/competition-198/season-187389/match-5228176/goal-s3992-e4039.mp4
5228176,4336,0.1603,0.1031,video/competition-198/season-187389/match-5228176/goal-s4323-e4370.mp4
5228176,4937,0.831,0.5832,video/competition-198/season-187389/match-5228176/goal-s4925-e4972.mp4
